Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,9,existing credits paid,domestic appliances,1236,< 100 DM,<1 year,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,9,existing credits paid,furniture/equipment,959,< 100 DM,1-4 years,1,female:divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee,1,None,No,High
No checking account,18,critical account,used car,3229,no savings,unemployed,2,male:single,none,4,unknown/no property,38,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,12,none/all paid back,radio/television,6199,< 100 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,28,none,rent,2,skilled employee,1,yes,Yes,High
No checking account,10,existing credits paid,education,727,500-1000 DM,>7 years,4,male:single,none,4,unknown/no property,46,none,free,1,skilled employee,1,yes,Yes,Low
0-200 DM,24,existing credits paid,new car,1246,< 100 DM,<1 year,4,male:single,none,2,real estate,23,stores,own,1,unskilled/resident,1,None,Yes,High
No checking account,12,critical account,radio/television,2331,no savings,>7 years,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,36,historical delay in payment,radio/television,4463,< 100 DM,1-4 years,4,male:single,none,2,car or other,26,none,own,2,management/self employed,1,yes,Yes,High
No checking account,12,existing credits paid,radio/television,776,< 100 DM,1-4 years,4,male:married,none,2,real estate,28,none,own,1,skilled employee,1,None,Yes,Low
0 DM,30,existing credits paid,furniture/equipment,2406,< 100 DM,4-7 years,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,None,Yes,High
0-200 DM,18,existing credits paid,education,1239,no savings,1-4 years,4,male:single,none,4,unknown/no property,61,none,free,1,skilled employee,1,None,Yes,Low
>200 DM,12,existing credits paid,radio/television,3399,no savings,>7 years,2,male:single,none,3,car or other,37,none,own,1,management/self employed,1,None,Yes,Low
>200 DM,12,historical delay in payment,new car,2247,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee,1,yes,Yes,Low
No checking account,6,existing credits paid,furniture/equipment,1766,< 100 DM,1-4 years,1,male:married,none,2,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,2473,< 100 DM,unemployed,4,male:single,none,1,car or other,25,none,own,1,Unemployed,1,None,Yes,High
No checking account,12,existing credits paid,business,1542,< 100 DM,4-7 years,2,male:single,none,4,car or other,36,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,18,critical account,used car,3850,< 100 DM,4-7 years,3,male:single,none,1,car or other,27,none,own,2,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,3650,< 100 DM,<1 year,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,36,existing credits paid,furniture/equipment,3446,< 100 DM,>7 years,4,male:single,none,2,car or other,42,none,own,1,skilled employee,2,None,Yes,High
0-200 DM,18,existing credits paid,furniture/equipment,3001,< 100 DM,4-7 years,2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,36,existing credits paid,new car,3079,no savings,1-4 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee,1,None,Yes,Low
No checking account,18,critical account,radio/television,6070,< 100 DM,>7 years,3,male:single,none,4,car or other,33,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,10,critical account,furniture/equipment,2146,< 100 DM,<1 year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee,1,None,Yes,Low
No checking account,60,critical account,new car,13756,no savings,>7 years,2,male:single,none,4,unknown/no property,63,bank,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,60,all credits at this bank paid back,used car0,14782,100-500 DM,>7 years,3,female:divorced/separated/married,none,4,unknown/no property,60,bank,free,2,management/self employed,1,yes,Yes,High
0 DM,48,all credits at this bank paid back,business,7685,< 100 DM,4-7 years,2,female:divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee,1,None,Yes,High
No checking account,18,historical delay in payment,radio/television,2320,< 100 DM,unemployed,2,male:married,none,3,real estate,34,none,own,2,skilled employee,1,None,Yes,Low
No checking account,7,historical delay in payment,radio/television,846,no savings,>7 years,3,male:single,none,4,unknown/no property,36,none,free,1,skilled employee,1,None,Yes,Low
0-200 DM,36,existing credits paid,new car,14318,< 100 DM,>7 years,4,male:single,none,2,unknown/no property,57,none,free,1,management/self employed,1,yes,Yes,High
No checking account,6,critical account,new car,362,100-500 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,52,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,20,existing credits paid,furniture/equipment,2212,no savings,4-7 years,4,male:single,none,4,car or other,39,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,existing credits paid,used car,12976,< 100 DM,unemployed,3,female:divorced/separated/married,none,4,unknown/no property,38,none,free,1,management/self employed,1,yes,Yes,High
No checking account,22,existing credits paid,new car,1283,no savings,4-7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,None,Yes,Low
>200 DM,12,existing credits paid,new car,1330,< 100 DM,<1 year,4,male:single,none,1,real estate,26,none,own,1,skilled employee,1,None,Yes,Low
No checking account,30,historical delay in payment,business,4272,100-500 DM,1-4 years,2,male:single,none,2,building society savings agreement/ life insurance,26,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,18,critical account,radio/television,2238,< 100 DM,1-4 years,2,female:divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,radio/television,1126,no savings,<1 year,4,female:divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,critical account,furniture/equipment,7374,< 100 DM,unemployed,4,male:single,none,4,building society savings agreement/ life insurance,40,stores,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,15,critical account,business,2326,500-1000 DM,1-4 years,2,male:single,none,4,car or other,27,bank,own,1,skilled employee,1,None,Yes,Low
No checking account,9,existing credits paid,business,1449,< 100 DM,4-7 years,3,female:divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,new car,1820,< 100 DM,1-4 years,2,male:married,none,2,building society savings agreement/ life insurance,30,none,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,12,existing credits paid,furniture/equipment,983,>1000 DM,<1 year,1,female:divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled/resident,1,None,Yes,Low
0 DM,36,existing credits paid,new car,3249,< 100 DM,4-7 years,2,male:single,none,4,unknown/no property,39,bank,free,1,management/self employed,2,yes,Yes,Low
0 DM,6,critical account,radio/television,1957,< 100 DM,4-7 years,1,female:divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee,1,None,Yes,Low
No checking account,9,critical account,furniture/equipment,2406,< 100 DM,unemployed,2,male:single,none,3,car or other,31,none,own,1,management/self employed,1,None,Yes,Low
0-200 DM,39,historical delay in payment,education,11760,100-500 DM,4-7 years,2,male:single,none,3,unknown/no property,32,none,rent,1,skilled employee,1,yes,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,2578,< 100 DM,unemployed,3,female:divorced/separated/married,none,4,unknown/no property,55,none,free,1,management/self employed,1,None,Yes,Low
0 DM,36,critical account,furniture/equipment,2348,< 100 DM,1-4 years,3,male:married,none,2,building society savings agreement/ life insurance,46,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,12,existing credits paid,new car,1223,< 100 DM,>7 years,1,male:divorced/separated,none,1,real estate,46,none,rent,2,skilled employee,1,None,Yes,High
No checking account,24,critical account,radio/television,1516,>1000 DM,1-4 years,4,female:divorced/separated/married,none,1,real estate,43,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,18,existing credits paid,radio/television,1473,< 100 DM,<1 year,3,male:married,none,4,real estate,39,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,critical account,business,1887,no savings,1-4 years,4,male:married,none,4,real estate,28,bank,own,2,skilled employee,1,None,Yes,Low
No checking account,24,historical delay in payment,business,8648,< 100 DM,<1 year,2,male:single,none,2,car or other,27,bank,own,2,skilled employee,1,yes,Yes,High
No checking account,14,historical delay in payment,new car,802,< 100 DM,1-4 years,4,male:single,none,2,car or other,27,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,18,historical delay in payment,new car,2899,no savings,>7 years,4,male:single,none,4,car or other,43,none,own,1,skilled employee,2,None,Yes,Low
0-200 DM,24,existing credits paid,radio/television,2039,< 100 DM,<1 year,1,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,yes,Yes,High
No checking account,24,critical account,used car,2197,no savings,4-7 years,4,male:single,none,4,car or other,43,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,15,existing credits paid,radio/television,1053,< 100 DM,<1 year,4,male:married,none,2,real estate,27,none,own,1,skilled employee,1,None,No,Low
No checking account,24,existing credits paid,radio/television,3235,500-1000 DM,>7 years,3,male:divorced/separated,none,2,car or other,26,none,own,1,management/self employed,1,yes,Yes,Low
>200 DM,12,critical account,new car,939,500-1000 DM,4-7 years,4,male:married,none,2,real estate,28,none,own,3,skilled employee,1,yes,Yes,High
0-200 DM,24,existing credits paid,radio/television,1967,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,car or other,20,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,33,critical account,used car,7253,< 100 DM,4-7 years,3,male:single,none,2,car or other,35,none,own,2,management/self employed,1,yes,Yes,Low
No checking account,12,critical account,business,2292,< 100 DM,unemployed,4,male:single,none,2,car or other,42,stores,own,2,management/self employed,1,yes,Yes,High
No checking account,10,existing credits paid,new car,1597,500-1000 DM,1-4 years,3,male:single,none,2,unknown/no property,40,none,rent,1,unskilled/resident,2,None,No,Low
0 DM,24,existing credits paid,new car,1381,no savings,1-4 years,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee,1,None,Yes,High
No checking account,36,critical account,used car,5842,< 100 DM,>7 years,2,male:single,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,12,existing credits paid,new car,2579,< 100 DM,<1 year,4,male:single,none,1,real estate,33,none,own,1,unskilled/resident,2,None,Yes,High
0 DM,18,historical delay in payment,education,8471,no savings,1-4 years,1,female:divorced/separated/married,none,2,car or other,23,none,rent,2,skilled employee,1,yes,Yes,Low
No checking account,21,existing credits paid,new car,2782,500-1000 DM,4-7 years,1,female:divorced/separated/married,none,2,car or other,31,bank,own,1,management/self employed,1,None,Yes,Low
0-200 DM,18,existing credits paid,new car,1042,no savings,1-4 years,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,33,none,own,1,skilled employee,1,None,Yes,High
No checking account,15,existing credits paid,new car,3186,>1000 DM,4-7 years,2,female:divorced/separated/married,none,3,car or other,20,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,used car,2028,no savings,1-4 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,critical account,new car,958,< 100 DM,4-7 years,2,male:single,none,3,real estate,47,none,own,2,unskilled/resident,2,None,Yes,Low
No checking account,21,historical delay in payment,furniture/equipment,1591,100-500 DM,4-7 years,4,male:single,none,3,real estate,34,none,own,2,management/self employed,1,None,Yes,Low
0-200 DM,12,existing credits paid,furniture/equipment,2762,no savings,>7 years,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,25,bank,own,1,skilled employee,1,yes,Yes,High
0-200 DM,18,existing credits paid,used car,2779,< 100 DM,1-4 years,1,male:married,none,3,car or other,21,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,28,critical account,radio/television,2743,< 100 DM,>7 years,4,male:single,none,2,car or other,29,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,critical account,radio/television,1149,>1000 DM,1-4 years,4,male:single,none,3,real estate,46,none,own,2,skilled employee,1,None,Yes,Low
No checking account,9,existing credits paid,furniture/equipment,1313,< 100 DM,>7 years,1,male:single,none,4,car or other,20,none,own,1,skilled employee,1,None,Yes,Low
0 DM,18,critical account,repairs,1190,< 100 DM,unemployed,2,female:divorced/separated/married,none,4,unknown/no property,55,none,free,3,Unemployed,2,None,Yes,High
No checking account,5,existing credits paid,business,3448,< 100 DM,4-7 years,1,male:single,none,4,real estate,74,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,existing credits paid,used car0,11328,< 100 DM,1-4 years,2,male:single,co-applicant,3,car or other,29,bank,own,2,management/self employed,1,yes,Yes,High
0 DM,6,critical account,furniture/equipment,1872,< 100 DM,unemployed,4,male:single,none,4,unknown/no property,36,none,free,3,management/self employed,1,yes,Yes,Low
No checking account,24,critical account,repairs,2058,< 100 DM,1-4 years,4,male:divorced/separated,none,2,real estate,33,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,9,existing credits paid,furniture/equipment,2136,< 100 DM,1-4 years,3,male:single,none,2,real estate,25,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1484,no savings,1-4 years,2,male:married,none,1,real estate,25,none,own,1,skilled employee,1,yes,Yes,High
No checking account,6,existing credits paid,repairs,660,500-1000 DM,4-7 years,2,male:married,none,4,real estate,23,none,rent,1,unskilled/resident,1,None,Yes,Low
No checking account,24,critical account,new car,1287,>1000 DM,>7 years,4,female:divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,42,critical account,repairs,3394,< 100 DM,unemployed,4,male:single,co-applicant,4,car or other,65,none,own,2,Unemployed,1,None,Yes,Low
>200 DM,12,all credits at this bank paid back,business,609,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,Unemployed,1,None,Yes,High
No checking account,12,existing credits paid,new car,1884,< 100 DM,>7 years,4,male:single,none,4,car or other,39,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,1620,< 100 DM,1-4 years,2,female:divorced/separated/married,co-applicant,3,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,20,historical delay in payment,used car0,2629,< 100 DM,1-4 years,2,male:single,none,3,car or other,29,bank,own,2,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,education,719,< 100 DM,>7 years,4,male:single,none,4,car or other,41,bank,own,1,unskilled/resident,2,None,Yes,High
0-200 DM,48,critical account,furniture/equipment,5096,< 100 DM,1-4 years,2,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/self employed,1,yes,Yes,High
No checking account,9,critical account,education,1244,no savings,>7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,41,none,rent,2,unskilled/resident,1,None,Yes,Low
0 DM,36,existing credits paid,new car,1842,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,car or other,34,none,own,1,skilled employee,1,yes,Yes,High
0-200 DM,7,existing credits paid,radio/television,2576,< 100 DM,1-4 years,2,male:single,guarantor,2,real estate,35,none,own,1,skilled employee,1,None,Yes,Low
>200 DM,12,existing credits paid,furniture/equipment,1424,no savings,>7 years,3,female:divorced/separated/married,none,4,real estate,55,none,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,15,historical delay in payment,repairs,1512,>1000 DM,1-4 years,3,male:married,none,3,building society savings agreement/ life insurance,61,stores,own,2,skilled employee,1,None,Yes,High
No checking account,36,critical account,used car,11054,no savings,1-4 years,4,male:single,none,2,car or other,30,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,6,existing credits paid,radio/television,518,< 100 DM,1-4 years,3,female:divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee,1,None,Yes,Low
No checking account,12,none/all paid back,furniture/equipment,2759,< 100 DM,>7 years,2,male:single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,used car,2670,< 100 DM,>7 years,4,male:single,none,4,car or other,35,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,24,existing credits paid,new car,4817,< 100 DM,4-7 years,2,male:single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,yes,Yes,High
No checking account,24,existing credits paid,used car,2679,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,unknown/no property,29,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,11,critical account,new car,3905,< 100 DM,1-4 years,2,male:single,none,2,real estate,36,none,rent,2,skilled employee,2,None,Yes,Low
0 DM,12,existing credits paid,used car,3386,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,35,none,free,1,skilled employee,1,yes,Yes,High
0 DM,6,existing credits paid,domestic appliances,343,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,radio/television,4594,< 100 DM,<1 year,3,male:single,none,2,car or other,32,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,36,existing credits paid,furniture/equipment,3620,< 100 DM,1-4 years,1,male:single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee,2,None,Yes,Low
0 DM,15,existing credits paid,new car,1721,< 100 DM,<1 year,2,male:single,none,3,real estate,36,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,furniture/equipment,3017,< 100 DM,<1 year,3,female:divorced/separated/married,none,1,real estate,34,none,rent,1,management/self employed,1,None,Yes,Low
0-200 DM,12,existing credits paid,retaining,754,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,business,1950,< 100 DM,4-7 years,4,male:single,none,1,car or other,34,stores,own,2,skilled employee,1,yes,Yes,Low
0 DM,24,existing credits paid,used car,2924,< 100 DM,1-4 years,3,male:single,guarantor,4,unknown/no property,63,bank,own,1,skilled employee,2,yes,Yes,Low
0 DM,24,historical delay in payment,radio/television,1659,< 100 DM,<1 year,4,female:divorced/separated/married,none,2,car or other,29,none,rent,1,unskilled/resident,1,yes,Yes,High
No checking account,48,historical delay in payment,radio/television,7238,no savings,>7 years,3,male:single,none,3,car or other,32,bank,own,2,skilled employee,2,None,Yes,Low
No checking account,33,historical delay in payment,business,2764,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,24,historical delay in payment,used car,4679,< 100 DM,4-7 years,3,male:single,none,3,car or other,35,none,own,2,unskilled/resident,1,yes,Yes,Low
0-200 DM,24,existing credits paid,radio/television,3092,100-500 DM,<1 year,3,male:married,none,2,car or other,22,none,rent,1,skilled employee,1,yes,Yes,High
0 DM,6,existing credits paid,education,448,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,High
0 DM,9,existing credits paid,new car,654,< 100 DM,1-4 years,4,male:single,none,3,car or other,28,none,own,1,unskilled/resident,1,None,Yes,High
No checking account,6,existing credits paid,retaining,1238,no savings,unemployed,4,male:single,none,4,building society savings agreement/ life insurance,36,none,own,1,management/self employed,2,yes,Yes,Low
0-200 DM,18,critical account,radio/television,1245,< 100 DM,1-4 years,4,male:married,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,High
0 DM,18,none/all paid back,furniture/equipment,3114,< 100 DM,<1 year,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,None,Yes,High
No checking account,39,existing credits paid,used car,2569,500-1000 DM,1-4 years,4,male:single,none,4,car or other,24,none,own,1,skilled employee,1,None,Yes,Low
>200 DM,24,existing credits paid,radio/television,5152,< 100 DM,4-7 years,4,male:single,none,2,car or other,25,bank,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,business,1037,100-500 DM,4-7 years,3,male:single,none,4,real estate,39,none,own,1,unskilled/resident,1,None,Yes,Low
0 DM,15,critical account,furniture/equipment,1478,< 100 DM,>7 years,4,male:single,none,4,car or other,44,none,own,2,skilled employee,2,yes,Yes,Low
0-200 DM,12,critical account,radio/television,3573,< 100 DM,1-4 years,1,female:divorced/separated/married,none,1,real estate,23,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,existing credits paid,new car,1201,< 100 DM,<1 year,4,male:single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,Low
0 DM,30,existing credits paid,furniture/equipment,3622,>1000 DM,>7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,skilled employee,1,yes,Yes,Low
No checking account,15,historical delay in payment,furniture/equipment,960,>1000 DM,4-7 years,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,critical account,new car,1163,500-1000 DM,1-4 years,4,male:single,none,4,real estate,44,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,6,historical delay in payment,new car,1209,< 100 DM,unemployed,4,male:single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/self employed,1,yes,Yes,High
No checking account,12,existing credits paid,radio/television,3077,< 100 DM,1-4 years,2,male:single,none,4,car or other,52,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,new car,3757,< 100 DM,>7 years,4,female:divorced/separated/married,co-applicant,4,unknown/no property,62,none,free,1,skilled employee,1,yes,Yes,Low
No checking account,10,existing credits paid,new car,1418,100-500 DM,1-4 years,3,male:single,none,2,real estate,35,none,rent,1,unskilled/resident,1,None,No,Low
No checking account,6,existing credits paid,new car,3518,< 100 DM,1-4 years,2,male:single,guarantor,3,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,12,critical account,radio/television,1934,< 100 DM,>7 years,2,male:single,none,2,unknown/no property,26,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,27,none/all paid back,business,8318,< 100 DM,>7 years,2,female:divorced/separated/married,none,4,unknown/no property,42,none,free,2,management/self employed,1,yes,Yes,High
No checking account,6,critical account,radio/television,1237,100-500 DM,1-4 years,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,6,existing credits paid,radio/television,368,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee,1,None,Yes,Low
0 DM,12,critical account,new car,2122,< 100 DM,1-4 years,3,male:single,none,2,real estate,39,none,rent,2,unskilled/resident,2,None,No,Low
0 DM,24,existing credits paid,furniture/equipment,2996,no savings,1-4 years,2,male:married,none,4,car or other,20,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,36,existing credits paid,furniture/equipment,9034,100-500 DM,<1 year,4,male:single,co-applicant,1,unknown/no property,29,none,rent,1,management/self employed,1,yes,Yes,High
No checking account,24,critical account,furniture/equipment,1585,< 100 DM,4-7 years,4,male:single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,18,existing credits paid,radio/television,1301,< 100 DM,>7 years,4,male:married,guarantor,2,real estate,32,none,own,1,unskilled/resident,1,None,Yes,Low
>200 DM,6,critical account,new car,1323,100-500 DM,>7 years,2,male:divorced/separated,none,4,car or other,28,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,24,existing credits paid,new car,3123,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee,1,None,Yes,High
0 DM,36,existing credits paid,used car,5493,< 100 DM,>7 years,2,male:single,none,4,unknown/no property,42,none,free,1,skilled employee,2,None,Yes,Low
>200 DM,9,existing credits paid,radio/television,1126,100-500 DM,>7 years,2,male:divorced/separated,none,4,real estate,49,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,24,critical account,radio/television,1216,100-500 DM,<1 year,4,male:single,none,4,unknown/no property,38,bank,own,2,skilled employee,2,None,Yes,High
0 DM,24,existing credits paid,new car,1207,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,High
No checking account,10,existing credits paid,new car,1309,no savings,1-4 years,4,male:single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled/resident,1,None,Yes,High
>200 DM,15,critical account,used car,2360,500-1000 DM,1-4 years,2,male:single,none,2,car or other,36,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,15,all credits at this bank paid back,new car,6850,100-500 DM,unemployed,1,male:single,none,2,building society savings agreement/ life insurance,34,none,own,1,management/self employed,2,yes,Yes,High
No checking account,24,existing credits paid,radio/television,1413,< 100 DM,1-4 years,4,male:married,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee,1,None,Yes,Low
No checking account,39,existing credits paid,used car,8588,100-500 DM,>7 years,4,male:single,none,2,car or other,45,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,12,existing credits paid,new car,759,< 100 DM,4-7 years,4,male:single,none,2,real estate,26,none,own,1,skilled employee,1,None,Yes,High
No checking account,36,existing credits paid,used car,4686,< 100 DM,1-4 years,2,male:single,none,2,unknown/no property,32,none,free,1,management/self employed,1,yes,Yes,Low
>200 DM,15,existing credits paid,business,2687,< 100 DM,4-7 years,2,male:single,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,12,historical delay in payment,radio/television,585,< 100 DM,1-4 years,4,male:married,co-applicant,4,real estate,20,none,rent,2,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,new car,2255,no savings,<1 year,4,male:single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,critical account,new car,609,< 100 DM,4-7 years,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee,1,None,No,Low
0 DM,6,critical account,new car,1361,< 100 DM,<1 year,2,male:single,none,4,real estate,40,none,own,1,unskilled/resident,2,None,No,Low
No checking account,36,critical account,furniture/equipment,7127,< 100 DM,<1 year,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee,1,yes,Yes,High
0 DM,6,existing credits paid,new car,1203,100-500 DM,>7 years,3,male:single,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,6,critical account,radio/television,700,no savings,>7 years,4,male:single,none,4,unknown/no property,36,none,free,2,skilled employee,1,None,Yes,Low
No checking account,24,critical account,repairs,5507,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,44,none,free,2,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,radio/television,3190,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,None,Yes,High
0 DM,48,none/all paid back,furniture/equipment,7119,< 100 DM,1-4 years,3,male:single,none,4,unknown/no property,53,none,free,2,skilled employee,2,None,Yes,High
No checking account,24,existing credits paid,used car,3488,100-500 DM,4-7 years,3,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,18,existing credits paid,radio/television,1113,< 100 DM,1-4 years,4,female:divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled/resident,2,None,Yes,Low
0-200 DM,26,existing credits paid,used car,7966,< 100 DM,<1 year,2,male:single,none,3,car or other,30,none,own,2,skilled employee,1,None,Yes,Low
